mode,mode_label,seed,scenario,tag,tasks_done,tasks_per_hour,tasks_failed,tasks_reassigned,mean_wait_s,p95_wait_s,max_wait_s,total_distance_m,energy_j,vetoes,replans,collisions,near_misses,deadlocks,stalled_robots,mean_queue_len,reservation_grants,reservation_denials,jec_utilization,messages_per_s,bytes_per_s,conflict_cells_formed,wall_s
INTENT_P2P,C: intent P2P,7,baseline,baseline,3,72.0,0,0,7.89,17.4,31.6,463.4,566.7,63,62,0,2,1,7,0.0,0,0,0.0,60.2,27859.4,40,3.22
INTENT_P2P,C: intent P2P,42,baseline,baseline,3,72.0,0,0,16.24,79.3,80.2,383.1,532.5,57,84,3,8,7,7,0.0,0,0,0.0,61.2,28964.9,45,3.46
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,baseline,3,72.0,0,0,9.07,79.4,79.4,401.9,518.5,48,340,1,3,1,4,0.04,133,6,0.264,92.7,43097.9,24,6.49
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,baseline,3,72.0,0,0,6.28,17.5,31.4,505.6,551.4,81,356,2,11,1,4,0.34,379,51,0.306,96.9,54298.5,49,7.58
INTENT_P2P,C: intent P2P,7,surge,surge,3,72.0,0,0,9.32,36.1,40.7,523.2,555.6,64,189,2,8,3,2,0.0,0,0,0.0,51.9,26538.4,26,3.51
INTENT_P2P,C: intent P2P,42,surge,surge,1,24.0,0,0,6.78,14.1,14.1,296.2,441.5,25,249,1,3,0,5,0.0,0,0,0.0,51.0,25528.2,6,3.07
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,surge,surge,4,96.0,0,0,5.85,15.5,16.5,666.3,625.4,106,192,2,12,0,4,0.38,213,60,0.333,97.1,48352.0,33,7.99
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,surge,surge,3,72.0,0,0,5.56,16.1,16.1,444.8,508.1,39,504,2,6,0,3,0.03,112,4,0.195,83.5,42081.3,19,6.26
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,jec-kill,3,72.0,0,1,8.63,79.4,79.4,373.5,488.1,40,297,0,4,1,4,0.02,91,3,0.221,81.7,38652.5,22,5.46
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,jec-kill,3,72.0,0,0,6.28,17.5,31.4,505.6,551.4,81,356,2,11,1,4,0.34,379,51,0.306,96.9,54298.5,49,7.44
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,robot-fail,3,72.0,0,0,10.34,79.4,79.4,382.7,506.2,38,305,1,3,1,4,0.02,86,3,0.227,83.0,39592.2,19,5.71
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,robot-fail,3,72.0,0,0,6.28,17.5,31.4,505.6,551.4,81,356,2,11,1,4,0.34,379,51,0.306,96.9,54298.5,49,7.58
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,network-degraded,3,72.0,0,0,3.59,7.0,7.0,376.8,522.9,48,363,1,3,0,3,0.31,243,49,0.323,91.0,45578.3,18,6.56
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,network-degraded,6,144.0,0,0,8.1,18.0,31.6,636.9,605.3,92,280,1,18,1,3,0.46,179,71,0.323,81.4,43612.1,43,6.29
