mode,mode_label,seed,scenario,tag,tasks_done,tasks_per_hour,tasks_failed,tasks_reassigned,mean_wait_s,p95_wait_s,max_wait_s,total_distance_m,energy_j,vetoes,replans,collisions,near_misses,deadlocks,stalled_robots,mean_queue_len,reservation_grants,reservation_denials,jec_utilization,messages_per_s,bytes_per_s,conflict_cells_formed,wall_s
STOP_AND_WAIT,A: stop-and-wait,7,baseline,baseline,1,18.0,0,0,7.75,33.6,33.6,399.1,718.4,38,441,2,2,1,8,0.0,0,0,0.0,23.4,15713.3,0,2.5
STOP_AND_WAIT,A: stop-and-wait,42,baseline,baseline,2,36.0,0,0,11.15,30.2,33.3,383.3,683.6,54,437,2,4,6,10,0.0,0,0,0.0,23.2,15553.1,0,2.61
STOP_AND_WAIT,A: stop-and-wait,99,baseline,baseline,4,72.0,0,0,10.26,30.2,42.1,620.8,831.2,70,304,0,0,7,8,0.0,0,0,0.0,22.7,14943.7,0,2.47
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,7,baseline,baseline,4,72.0,0,0,8.75,33.3,33.3,525.2,660.6,81,146,0,8,3,9,0.0,0,0,0.0,22.4,14761.2,0,2.74
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,42,baseline,baseline,3,54.0,0,0,7.15,11.3,33.3,442.9,617.2,64,322,0,6,2,8,0.0,0,0,0.0,22.8,15402.0,0,2.77
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,99,baseline,baseline,3,54.0,0,0,6.84,12.9,35.6,537.8,660.6,76,267,0,4,2,7,0.0,0,0,0.0,22.6,15197.8,0,2.79
INTENT_P2P,C: intent P2P,7,baseline,baseline,3,54.0,0,0,14.0,48.2,77.3,536.7,736.2,75,116,0,4,7,6,0.0,0,0,0.0,63.4,29584.8,41,4.55
INTENT_P2P,C: intent P2P,42,baseline,baseline,3,54.0,0,0,17.52,76.3,80.2,472.9,708.1,86,94,3,12,11,3,0.0,0,0,0.0,63.6,30130.0,59,4.62
INTENT_P2P,C: intent P2P,99,baseline,baseline,3,54.0,0,0,11.98,74.5,77.2,536.6,770.1,77,183,0,8,5,5,0.0,0,0,0.0,79.1,34468.9,74,5.92
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,baseline,4,72.0,0,0,20.05,79.4,112.1,552.6,718.0,77,471,1,11,8,0,0.03,199,6,0.281,96.7,45605.5,38,8.87
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,baseline,3,54.0,0,0,7.28,19.8,48.4,528.1,665.1,86,630,2,11,2,5,0.6,581,123,0.278,105.6,60829.5,54,10.9
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,99,baseline,baseline,5,90.0,0,0,7.9,24.2,47.4,743.4,768.3,118,589,0,18,2,4,1.34,392,282,0.291,107.7,56292.4,59,10.32
STOP_AND_WAIT,A: stop-and-wait,7,surge,surge,1,18.0,0,0,12.47,33.3,33.3,388.1,631.7,43,531,2,2,3,9,0.0,0,0,0.0,25.8,16859.8,0,2.93
STOP_AND_WAIT,A: stop-and-wait,42,surge,surge,1,18.0,0,0,5.15,11.2,11.2,384.2,623.8,28,483,1,1,0,8,0.0,0,0,0.0,28.5,16898.9,0,2.98
STOP_AND_WAIT,A: stop-and-wait,99,surge,surge,3,54.0,0,0,12.87,42.4,90.7,512.9,702.4,54,269,4,4,5,8,0.0,0,0,0.0,25.0,15708.5,0,3.1
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,7,surge,surge,4,72.0,0,0,8.85,33.3,40.7,744.7,749.4,83,398,2,9,3,4,0.0,0,0,0.0,25.8,16438.3,0,3.1
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,42,surge,surge,1,18.0,0,0,6.66,11.1,11.1,390.5,578.8,22,403,1,1,0,7,0.0,0,0,0.0,28.0,16606.4,0,3.13
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,99,surge,surge,5,90.0,0,0,6.81,14.5,33.3,701.1,747.4,74,251,1,2,1,6,0.0,0,0,0.0,25.0,15719.5,0,3.13
INTENT_P2P,C: intent P2P,7,surge,surge,3,54.0,0,0,10.29,36.1,40.7,702.8,735.2,79,282,2,12,4,5,0.0,0,0,0.0,50.6,26890.2,33,4.34
INTENT_P2P,C: intent P2P,42,surge,surge,1,18.0,0,0,6.29,14.1,14.1,388.5,581.6,31,387,1,3,0,7,0.0,0,0,0.0,55.3,27769.9,24,4.5
INTENT_P2P,C: intent P2P,99,surge,surge,4,72.0,0,0,13.28,72.1,75.2,583.4,773.7,83,206,2,6,8,5,0.0,0,0,0.0,72.7,32717.0,82,5.75
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,surge,surge,6,108.0,0,0,5.85,15.5,16.5,791.2,793.0,123,304,2,14,0,6,0.47,289,100,0.313,99.1,50247.3,41,10.42
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,surge,surge,3,54.0,0,0,5.56,16.1,16.1,523.8,661.4,49,822,2,6,0,6,0.13,197,29,0.245,94.6,47698.1,25,9.65
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,99,surge,surge,8,144.0,0,0,6.55,12.2,30.4,1124.7,948.9,118,172,3,19,1,0,0.1,263,20,0.402,81.9,42982.3,32,8.58
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,jec-kill,4,72.0,0,1,21.23,79.4,112.1,509.1,665.8,61,391,0,10,8,0,0.15,165,32,0.246,82.4,40721.6,32,7.48
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,jec-kill,3,54.0,0,0,7.28,19.8,48.4,528.1,665.1,86,630,2,11,2,5,0.6,581,123,0.278,105.6,60829.5,54,10.8
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,robot-fail,4,72.0,0,0,22.1,79.4,112.1,529.7,699.0,63,402,1,11,8,0,0.02,142,3,0.255,83.1,41112.4,32,7.36
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,robot-fail,3,54.0,0,0,7.28,19.8,48.4,528.1,665.1,86,630,2,11,2,5,0.6,581,123,0.278,105.6,60829.5,54,10.69
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,network-degraded,3,54.0,0,0,3.59,7.0,7.0,421.3,685.2,50,730,1,3,0,3,0.52,411,107,0.367,99.1,52488.3,17,9.99
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,network-degraded,7,126.0,0,0,10.4,31.6,68.5,850.7,803.6,112,458,1,22,3,1,0.64,239,130,0.33,85.0,45595.9,58,8.79
